,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"25 Waterman St, Providence, RI",AMERICAN EMERY WHEEL WORKS ' $,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_2.png', 'cd1937/entry/1937_Page_209 (1)_3.png', 'cd1937/entry/1937_Page_209 (1)_4.png']",100.0,*Abrasives Grains & Wheels,41.827137607828625,-71.40769105010149,100.0,25 WATERMAN ST PROVIDENCE,"""AMERICAN EMERY WHEEL WORKS ' $25 Waterman at Richmond sq phone PL. 2260See page 148"""
1,"325 Waterman St, Providence, RI",American Emery Wheel Works,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_6.png', 'cd1937/entry/1937_Page_209 (1)_7.png']",100.0,AbrasivesMLrs.,41.82752719926306,-71.38287526279669,100.0,325 WATERMAN ST PROVIDENCE,American Emery Wheel Works 325 Waterman at Richmond sq
2,"85 Westminster St, Providence, RI",MORTGAGE GUARANTEE & TITLE,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_9.png', 'cd1937/entry/1937_Page_209 (1)_10.png', 'cd1937/entry/1937_Page_209 (1)_11.png', 'cd1937/entry/1937_Page_209 (1)_12.png']",100.0,Abstracts of Title,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,"MORTGAGE GUARANTEE & TITLE 0 85 Westminster phone Gaspee 3352See bottom edge, top lines and . page 169"
3,"111 Westminster St, Providence, RI",REAL ESTATE TITLE INSURANCE COMPANY OF PROVIDENCE,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_13.png', 'cd1937/entry/1937_Page_209 (1)_14.png', 'cd1937/entry/1937_Page_209 (1)_15.png', 'cd1937/entry/1937_Page_209 (1)_16.png', 'cd1937/entry/1937_Page_209 (1)_17.png']",100.0,Abstracts of Title,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"REAL ESTATE TITLE INSURANCE COMPANY OF PROVIDENCE 2010 Industrial Trust bldg 111 Westmin- ster phone: Gaspee 9555See back bone, top lines and page 168"
4,HARDCODE,FULLER WINFIELD CO Inc,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_21.png', 'cd1937/entry/1937_Page_209 (1)_22.png', 'cd1937/entry/1937_Page_209 (1)_23.png']",100.0,*Accident & Health Inurance,41.824951,-71.40983100000001,100.0,49 WESTMINSTER ST PROVIDENCE,FULLER WINFIELD CO Inc 49 West- minster suites 301-304 phone Gaspee 7400See front cover and page 120
5,"171 Westminster St, Providence, RI",PAIGE C D & CO,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_24.png', 'cd1937/entry/1937_Page_209 (1)_25.png']",100.0,*Accident & Health Inurance,41.82364280089552,-71.41174497314474,100.0,171 WESTMINSTER ST PROVIDENCE,PAIGE C D & CO 171 Westminster phone Gaspee 7810See page 119
6,HARDCODE,OVER SPENCER H,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_27.png', 'cd1937/entry/1937_Page_209 (1)_28.png']",100.0,tantsChartered,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,OVER SPENCER H 836 Hospital Trust bldg 15 Westminster
7,"76 Westminster St, Providence, RI",Adler Louis,2019-03-22,['cd1937/entry/1937_Page_209 (1)_32.png'],100.0,Aocountants & Auditors,41.82463663516011,-71.41012717666993,100.0,76 WESTMINSTER ST PROVIDENCE,Adler Louis 76 Westminster rm 508
8,"170 Westminster St, Providence, RI",Arnold Howard B,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_33.png', 'cd1937/entry/1937_Page_209 (1)_34.png']",100.0,Aocountants & Auditors,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,Arnold Howard B 170 Westminster rm 1117
9,"111 Westminster St, Providence, RI",Baer Albert H,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_35.png', 'cd1937/entry/1937_Page_209 (1)_36.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Baer Albert H 111 Westminster rm 1128
10,"146 Westminster St, Providence, RI",Berkowitz Saml M,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_37.png', 'cd1937/entry/1937_Page_209 (1)_38.png']",100.0,Aocountants & Auditors,41.82394485502904,-71.41107555435269,100.0,146 WESTMINSTER ST PROVIDENCE,Berkowitz Saml M 146 Westminster rm 209
11,"111 Westminster St, Providence, RI",Bernstein Harry,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_39.png', 'cd1937/entry/1937_Page_209 (1)_40.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Bernstein Harry 111 Westminster rm 318
12,HARDCODE,BERNSTEIN PERRY,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_41.png', 'cd1937/entry/1937_Page_209 (1)_42.png']",100.0,Aocountants & Auditors,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,BERNSTEIN PERRY 925 Hospital Trust bldg 15 Westminster
13,HARDCODE,Bernstein-Pliner Co,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_43.png', 'cd1937/entry/1937_Page_209 (1)_44.png']",100.0,Aocountants & Auditors,41.825363,-71.40946,88.0,15 WESTMINSTER ST PROVIDENCE,Bernstein-Pliner Co 15 Westminster rm. 925
14,"109 Washington St, Providence, RI",Billings Ivanhoe D,2019-03-22,['cd1937/entry/1937_Page_209 (1)_45.png'],100.0,Aocountants & Auditors,41.82315020146279,-71.41470756189116,100.0,109 WASHINGTON ST PROVIDENCE,Billings Ivanhoe D 109 Wash rm 201
15,"111 Westminster St, Providence, RI",*Blackman Abr,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_46.png', 'cd1937/entry/1937_Page_209 (1)_47.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,*Blackman Abr 111 Westminster rm 1208
16,"111 Westminster St, Providence, RI",Blackman & Blackma,2019-03-22,"['cd1937/entry/1937_Page_209 (1)_48.png', 'cd1937/entry/1937_Page_209 (1)_49.png', 'cd1937/entry/1937_Page_209 (1)_50.png', 'cd1937/entry/1937_Page_209 (1)_51.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Blackman & Blackman 111 Westmin- ster rm 1208 14
17,"10 Weybosset St, Providence, RI",Blaisdell Carroll H,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_1.png', 'cd1937/entry/1937_Page_209 (2)_2.png']",100.0,Aocountants & Auditors,41.824563836337646,-71.40961524447059,100.0,10 WEYBOSSET ST PROVIDENCE,Blaisdell Carroll H 10 Weybosset rm 401
18,"111 Westminster St, Providence, RI",Borod Audit Co,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_3.png', 'cd1937/entry/1937_Page_209 (2)_4.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Borod Audit Co 111 Westminster rm 1219
19,"111 Westminster St, Providence, RI",Borod Esmond,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_5.png', 'cd1937/entry/1937_Page_209 (2)_6.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Borod Esmond  111 Westminster rm 1219
20,"111 Westminster St, Providence, RI",In- dustrial Trust bldg,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_7.png', 'cd1937/entry/1937_Page_209 (2)_8.png', 'cd1937/entry/1937_Page_209 (2)_9.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"BUGBEE, BAER & CO 1126-1128 In- dustrial Trust bldg 111 Westminster phone Gaspee 5935See page 66"
21,"111 Westminster St, Providence, RI",*Bugbee Geo W,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_10.png', 'cd1937/entry/1937_Page_209 (2)_11.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,*Bugbee Geo W 111 Westminster rm 1128
22,"111 Westminster St, Providence, RI",Burke Nelson G,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_12.png', 'cd1937/entry/1937_Page_209 (2)_13.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Burke Nelson G 111 Westminster rm 1210
23,"247 Smith St, Providence, RI",*Chafee Walter B,2019-03-22,['cd1937/entry/1937_Page_209 (2)_14.png'],100.0,Aocountants & Auditors,41.8327893639698,-71.41935496519419,100.0,247 SMITH ST PROVIDENCE,*Chafee Walter B 247 Smith
24,"170 Westminster St, Providence, RI","Christiansen, Murphy & Co",2019-03-22,"['cd1937/entry/1937_Page_209 (2)_15.png', 'cd1937/entry/1937_Page_209 (2)_16.png']",100.0,Aocountants & Auditors,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,"Christiansen, Murphy & Co 170 West- minster rm 416"
25,HARDCODE,Clegg George B,2019-03-22,['cd1937/entry/1937_Page_209 (2)_17.png'],100.0,Aocountants & Auditors,41.824951,-71.40983100000001,94.0,49 WESTMINSTER ST PROVIDENCE,Clegg George B 49 Westminster rm
26,HARDCODE,*Clegg George B jr,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_19.png', 'cd1937/entry/1937_Page_209 (2)_20.png']",100.0,Aocountants & Auditors,41.824951,-71.40983100000001,100.0,49 WESTMINSTER ST PROVIDENCE,*Clegg George B jr 49 Westminster rm 617
27,HARDCODE,"Comery, Davidson & Jacobso",2019-03-22,"['cd1937/entry/1937_Page_209 (2)_21.png', 'cd1937/entry/1937_Page_209 (2)_22.png']",100.0,Aocountants & Auditors,41.824951,-71.40983100000001,100.0,49 WESTMINSTER ST PROVIDENCE,"Comery, Davidson & Jacobson 49 West- minster rm 726"
28,"10 Weybosset St, Providence, RI",Cowan & Ratcliffe,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_23.png', 'cd1937/entry/1937_Page_209 (2)_24.png']",100.0,Aocountants & Auditors,41.824563836337646,-71.40961524447059,100.0,10 WEYBOSSET ST PROVIDENCE,Cowan & Ratcliffe 10 Weybosset rm 1016
29,"157 Jewett St, Providence, RI",*Emin Adele M,2019-03-22,['cd1937/entry/1937_Page_209 (2)_25.png'],100.0,Aocountants & Auditors,41.833021457586305,-71.422899477766,100.0,157 JEWETT ST PROVIDENCE,*Emin Adele M 157 Jewett
30,"111 Westminster St, Providence, RI",Ernst & Ernst,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_26.png', 'cd1937/entry/1937_Page_209 (2)_27.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Ernst & Ernst 111 Westminster rm 1702
31,"111 Westminster St, Providence, RI",Feiner Philip A,2019-03-22,"['cd1937/entry/1937_Page_209 (2)_28.png', 'cd1937/entry/1937_Page_209 (2)_29.png']",100.0,Aocountants & Auditors,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Feiner Philip A 111 Westminster rm 923
