,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"1023 Broad St, Providence, RI",Bay State Abrasive Products,2019-03-22,['cd1960/entry/1960_Page_93 (1)_7.png'],100.0,Manufacturers),41.797004407183415,-71.4132412859307,100.0,1023 BROAD ST PROVIDENCE,Bay State Abrasive Products 1023 Broad
1,"1023 Broad St, Providence, RI",Exolon Abrasives,2019-03-22,['cd1960/entry/1960_Page_93 (1)_8.png'],100.0,Manufacturers),41.797004407183415,-71.4132412859307,100.0,1023 BROAD ST PROVIDENCE,Exolon Abrasives 1023 Broad
2,"1023 Broad St, Providence, RI",Laird deVou Inc,2019-03-22,"['cd1960/entry/1960_Page_93 (1)_9.png', 'cd1960/entry/1960_Page_93 (1)_10.png']",100.0,Manufacturers),41.797004407183415,-71.4132412859307,100.0,1023 BROAD ST PROVIDENCE,Laird deVou Inc 1023 Broad and 1201 Eddy
3,"1201 Eddy St, Providence, RI",Laird deVou Inc,2019-03-22,"['cd1960/entry/1960_Page_93 (1)_9.png', 'cd1960/entry/1960_Page_93 (1)_10.png']",100.0,Manufacturers),41.79257524312588,-71.40385065747991,100.0,1201 EDDY ST PROVIDENCE,Laird deVou Inc 1023 Broad and 1201 Eddy
4,"111 Westminster St, Providence, RI","Ward, Fisher & Co,",2019-03-22,"['cd1960/entry/1960_Page_93 (1)_18.png', 'cd1960/entry/1960_Page_93 (1)_19.png', 'cd1960/entry/1960_Page_93 (1)_20.png']",100.0,*ACCOUNTANTSCERTIFIED PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"Ward, Fisher & Co, 2400 Industrial Bank Bldg 111 Westminster, Tel GAspee 1-5768"
5,HARDCODE,dler Louis,2019-03-22,['cd1960/entry/1960_Page_93 (1)_27.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.825363,-71.40946,89.5,15 WESTMINSTER ST PROVIDENCE,dler Louis 15 Westminster R1004
6,"170 Westminster St, Providence, RI",Ilen David,2019-03-22,['cd1960/entry/1960_Page_93 (1)_28.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.823683537755784,-71.41146197569445,90.5,170 WESTMINSTER ST PROVIDENCE,Ilen David 170 Westminster R712
7,"573 Atwells Ave, Providence, RI",mbrifi Mario & Associates,2019-03-22,"['cd1960/entry/1960_Page_93 (1)_29.png', 'cd1960/entry/1960_Page_93 (1)_30.png', 'cd1960/entry/1960_Page_93 (1)_31.png']",100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.824573821371715,-71.4365374346377,100.0,573 ATWELLS AVE PROVIDENCE,mbrifi Mario & Associates 573 Atwells av elman & Andelman 428 Smith R6 rmitage John C 15 Westminster R724
8,"111 Westminster St, Providence, RI",*Baer Albert H,2019-03-22,['cd1960/entry/1960_Page_93 (1)_32.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,90.5,111 WESTMINSTER ST PROVIDENCE,*Baer Albert H 111 Westminster R533
9,"86 Weybosset St, Providence, RI",Berkowitz Saml M,2019-03-22,['cd1960/entry/1960_Page_93 (1)_33.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82343603171933,-71.41033944573688,91.0,86 WEYBOSSET ST PROVIDENCE,Berkowitz Saml M 86 Weybosset R21
10,HARDCODE,*Bernstein Perry,2019-03-22,['cd1960/entry/1960_Page_93 (1)_34.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.825363,-71.40946,90.5,15 WESTMINSTER ST PROVIDENCE,*Bernstein Perry 15 Westminster R627
11,HARDCODE,Bernstein-Pliner Co,2019-03-22,['cd1960/entry/1960_Page_93 (1)_35.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.825363,-71.40946,90.5,15 WESTMINSTER ST PROVIDENCE,Bernstein-Pliner Co 15 Westminster R627
12,"111 Westminster St, Providence, RI",Bilow Jack,2019-03-22,['cd1960/entry/1960_Page_93 (1)_36.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,Bilow Jack 111 Westminster R1422
13,"111 Westminster St, Providence, RI",*Blackman & Blackma,2019-03-22,"['cd1960/entry/1960_Page_93 (1)_37.png', 'cd1960/entry/1960_Page_93 (1)_38.png']",100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,*Blackman & Blackman 111 Westminster R1209
14,"111 Westminster St, Providence, RI",*Blackman Edw,2019-03-22,['cd1960/entry/1960_Page_93 (1)_39.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,*Blackman Edw 111 Westminster R1209
15,"17 Exchange Ter, Providence, RI",Blake Harvey,2019-03-22,['cd1960/entry/1960_Page_93 (1)_40.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.825349399083045,-71.41368216117942,90.0,17 EXCHANGE TER PROVIDENCE,Blake Harvey 17 Exchange R501
16,"51 Empire St, Providence, RI",Borod Audit Co,2019-03-22,['cd1960/entry/1960_Page_93 (1)_42.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.8211420993182,-71.41543234797402,85.5,51 EMPIRE ST PROVIDENCE,Borod Audit Co 51 Empire R605
17,"111 Westminster St, Providence, RI",Brayton Robt M,2019-03-22,['cd1960/entry/1960_Page_93 (1)_43.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,Brayton Robt M 111 Westminster R1401
18,"87 Weybosset St, Providence, RI",*Brindamour Henri L,2019-03-22,['cd1960/entry/1960_Page_93 (1)_44.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82345669921349,-71.41051758095863,89.0,87 WEYBOSSET ST PROVIDENCE,*Brindamour Henri L 87 Weybosset R527
19,"111 Westminster St, Providence, RI",Brown Harry C,2019-03-22,['cd1960/entry/1960_Page_93 (1)_45.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,90.5,111 WESTMINSTER ST PROVIDENCE,Brown Harry C 111 Westminster R611
20,"6 Europe St, Providence, RI",Buerry Joseph O,2019-03-22,['cd1960/entry/1960_Page_93 (1)_46.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.821499505947656,-71.4270040083536,100.0,6 EUROPE ST PROVIDENCE,Buerry Joseph O 6 Europe
21,HARDCODE,*Burke Franklin H,2019-03-22,['cd1960/entry/1960_Page_93 (1)_47.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.824951,-71.40983100000001,90.5,49 WESTMINSTER ST PROVIDENCE,*Burke Franklin H 49 Westminster R835
22,"1491 Broad St, Providence, RI",Cain Wm J jr,2019-03-22,['cd1960/entry/1960_Page_93 (1)_48.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.78661665036531,-71.40221628573083,88.5,1491 BROAD ST PROVIDENCE,Cain Wm J jr 1491 Broad R7
23,"24 Farmington Ave, Providence, RI",Calabrese Joseph,2019-03-22,"['cd1960/entry/1960_Page_93 (1)_49.png', 'cd1960/entry/1960_Page_93 (1)_50.png', 'cd1960/entry/1960_Page_93 (1)_51.png', 'cd1960/entry/1960_Page_93 (1)_52.png', 'cd1960/entry/1960_Page_93 (1)_53.png', 'cd1960/entry/1960_Page_93 (1)_54.png', 'cd1960/entry/1960_Page_93 (1)_55.png', 'cd1960/entry/1960_Page_93 (1)_56.png', 'cd1960/entry/1960_Page_93 (1)_57.png']",100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.80670991385603,-71.4630750796531,100.0,24 FARMINGTON AVE PROVIDENCE,Calabrese Joseph 24 Farmington av pana Philip J 87 Weybosset R321 ley Robt J 509 Westminster R44 mpeau Normand 87 Weybosset R527 istiansen & Co 111 Westminster Rms 612-14 jardiello August 711 Atwells av iolfi A & Co 685 Hartford av legg Geo B 49 Westminster Rms 613-615
24,"111 Westminster St, Providence, RI","Comery, Davison & Jacobso",2019-03-22,"['cd1960/entry/1960_Page_93 (2)_1.png', 'cd1960/entry/1960_Page_93 (2)_2.png']",100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,"Comery, Davison & Jacobson 111 West- minster R1022"
25,"111 Westminster St, Providence, RI",Commette Arth J,2019-03-22,['cd1960/entry/1960_Page_93 (2)_3.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,90.5,111 WESTMINSTER ST PROVIDENCE,Commette Arth J 111 Westminster R930
26,"17 Exchange Ter, Providence, RI",Connor Ralph J,2019-03-22,['cd1960/entry/1960_Page_93 (2)_4.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.825349399083045,-71.41368216117942,90.0,17 EXCHANGE TER PROVIDENCE,Connor Ralph J 17 Exchange R327
27,"10 Louis Ave, Providence, RI",Coster Joseph J,2019-03-22,['cd1960/entry/1960_Page_93 (2)_5.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.7905475036141,-71.4262673701254,100.0,10 LOUIS AVE PROVIDENCE,Coster Joseph J 10 Louis av
28,HARDCODE,Croome H Howard,2019-03-22,['cd1960/entry/1960_Page_93 (2)_6.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.825363,-71.40946,90.5,15 WESTMINSTER ST PROVIDENCE,Croome H Howard 15 Westminster R815
29,"111 Westminster St, Providence, RI",*Daley Edw C,2019-03-22,['cd1960/entry/1960_Page_93 (2)_7.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,*Daley Edw C 111 Westminster R2400
30,"754 Branch Ave, Providence, RI",DeCubellis Julio,2019-03-22,['cd1960/entry/1960_Page_93 (2)_9.png'],100.0,ACCOUNTANTSPUBLIC *Denotes Certified Public Accountants,41.85397154897625,-71.4301135993938,100.0,754 BRANCH AV PROVIDENCE,DeCubellis Julio 754 Branch av
