,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"1201 Eddy St, Providence, RI",LAIRD DE VOU INC,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_3.png', 'cd1972/entry/1972_Page_104 (1)_4.png']",100.0,*ABRASIVE & CUTTING SPECIALISTS,41.79257524312588,-71.40385065747991,100.0,1201 EDDY ST PROVIDENCE,LAIRD DE VOU INC 1201 Eddy St (02905) Tel 781-6282
1,"16 E River St, Providence, RI",Michigan Abrasive Co,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_6.png', 'cd1972/entry/1972_Page_104 (1)_7.png']",100.0,ABRASIVE MATERIALS,41.827898185917206,-71.38141546547362,100.0,16 EAST RIVER ST PROVIDENCE,Michigan Abrasive Co 16 East River St
2,"1201 Eddy St, Providence, RI",Laird De Vou Inc,2019-03-22,['cd1972/entry/1972_Page_104 (1)_9.png'],100.0,ABRASIVESMFRS,41.79257524312588,-71.40385065747991,100.0,1201 EDDY ST PROVIDENCE,Laird De Vou Inc 1201 Eddy St
3,"325 Waterman St, Providence, RI",Michigan Abrasive Co (Grinding Wheel Div),2019-03-22,"['cd1972/entry/1972_Page_104 (1)_10.png', 'cd1972/entry/1972_Page_104 (1)_11.png']",100.0,ABRASIVESMFRS,41.82752719926306,-71.38287526279669,100.0,325 WATERMAN ST PROVIDENCE,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St
4,"85 Westminster St, Providence, RI",Home Owners Title Guarantee Co,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_13.png', 'cd1972/entry/1972_Page_104 (1)_14.png']",100.0,ABSTRACTERS,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
5,"111 Westminster St, Providence, RI",Allegretti Anthony T,2019-03-22,['cd1972/entry/1972_Page_104 (1)_18.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Allegretti Anthony T 111 Westminster\nSt Rm 508
6,"170 Westminster St, Providence, RI",Allen David,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_19.png', 'cd1972/entry/1972_Page_104 (1)_20.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,Allen David 170 Westminster St Rm 1014
7,"227 Federal St, Providence, RI",Andrade Robt P,2019-03-22,['cd1972/entry/1972_Page_104 (1)_21.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.821520823346845,-71.4292652283725,100.0,227 FEDERAL ST PROVIDENCE,Andrade Robt P 227 Federal St
8,"86 Weybosset St, Providence, RI",Berkowitz Sam] M,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_22.png', 'cd1972/entry/1972_Page_104 (1)_23.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.82343603171933,-71.41033944573688,100.0,86 WEYBOSSET ST PROVIDENCE,Berkowitz Sam] M 86 Weybosset St Rm 406
9,"111 Westminster St, Providence, RI",Blackman & Blackma,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_24.png', 'cd1972/entry/1972_Page_104 (1)_25.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Blackman & Blackman 111 Westminster St Rm 1209
10,"111 Westminster St, Providence, RI",Cardello Aug A,2019-03-22,['cd1972/entry/1972_Page_104 (1)_26.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Cardello Aug A 111 Westminster St\nRm 812
11,"334 Wickenden St, Providence, RI",Carvalho Robt P,2019-03-22,['cd1972/entry/1972_Page_104 (1)_27.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.81961882808621,-71.39659626938226,100.0,334 WICKENDEN ST PROVIDENCE,Carvalho Robt P 334 Wickenden St
12,"605 Douglas Ave, Providence, RI","Vatoni Louis CPA,",2019-03-22,['cd1972/entry/1972_Page_104 (1)_28.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.8468801489711,-71.42986410484649,100.0,605 DOUGLAS AVE PROVIDENCE,"Vatoni Louis CPA, 605 Douglas Av Providence,\nRI (02908), Tel 521-1970"
13,"198 Dyer St, Providence, RI",Connor Ralph J,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_32.png', 'cd1972/entry/1972_Page_104 (1)_33.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.82176530719685,-71.40813423541123,100.0,198 DYER ST PROVIDENCE,Connor Ralph J 198 Dyer St Rm 215\nDi Stefano Theo F 10 Dorrance St Rm 634
14,HARDCODE,Melding Ralph R,2019-03-22,"['cd1972/entry/1972_Page_104 (1)_36.png', 'cd1972/entry/1972_Page_104 (1)_37.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Melding Ralph R 15 Westminster St
15,"111 Westminster St, Providence, RI",Gereboff & Co,2019-03-22,"['cd1972/entry/1972_Page_104 (2)_3.png', 'cd1972/entry/1972_Page_104 (2)_4.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Gereboff & Co 111 Westminster St Rm 1221a
16,HARDCODE,Harris & Gifford,2019-03-22,"['cd1972/entry/1972_Page_104 (2)_5.png', 'cd1972/entry/1972_Page_104 (2)_6.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Harris & Gifford 15 Westminster St Rm 815
17,"10 Dorrance St, Providence, RI",Haskins & Sells,2019-03-22,"['cd1972/entry/1972_Page_104 (2)_7.png', 'cd1972/entry/1972_Page_104 (2)_8.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.824150560907384,-71.41225520301587,100.0,10 DORRANCE ST PROVIDENCE,Haskins & Sells 10 Dorrance St Rm 718
18,"501 Angell St, Providence, RI",Jarcho Myer C,2019-03-22,['cd1972/entry/1972_Page_104 (2)_9.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Jarcho Myer C 501 Angell St
19,"501 Angell St, Providence, RI",Kanter Herbert,2019-03-22,['cd1972/entry/1972_Page_104 (2)_10.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Kanter Herbert 501 Angell St
20,"111 Westminster St, Providence, RI",Katz Jerome J,2019-03-22,"['cd1972/entry/1972_Page_104 (2)_11.png', 'cd1972/entry/1972_Page_104 (2)_12.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Katz Jerome J 111 Westminster St Rm 508
21,"111 Westminster St, Providence, RI",Krupa John J & Co,2019-03-22,"['cd1972/entry/1972_Page_104 (2)_13.png', 'cd1972/entry/1972_Page_104 (2)_14.png']",100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Krupa John J & Co 111 Westminster St Rm 812
22,"501 Angell St, Providence, RI",Labush Bernard,2019-03-22,['cd1972/entry/1972_Page_104 (2)_15.png'],100.0,ACCOUNTANTSCERTIFIED PUBLIC CONTD,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Labush Bernard 501 Angell St
