,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"405 Promenade St, Providence, RI",CONGDON & CARPENTER CO The,2019-03-22,"['cd1954/entry/1954_Page_1 (1)_2.png', 'cd1954/entry/1954_Page_1 (1)_3.png', 'cd1954/entry/1954_Page_1 (1)_4.png', 'cd1954/entry/1954_Page_1 (1)_5.png']",100.0,* Abrasives,41.82953534544063,-71.42462313973834,100.0,405 PROMENADE ST PROVIDENCE,"CONGDON & CARPENTER CO The 405 Promenade tel DExter 1-4200See front cover, inside front cover and left side lines"
1,"9 Richmond Sq, Providence, RI",AMERICAN EMERY WHEEL WORKS (grinding wheels),2019-03-22,"['cd1954/entry/1954_Page_1 (1)_7.png', 'cd1954/entry/1954_Page_1 (1)_8.png', 'cd1954/entry/1954_Page_1 (1)_9.png', 'cd1954/entry/1954_Page_1 (1)_10.png']",100.0,AbrasivesMirs,41.82688224993397,-71.38155975784062,100.0,9 RICHMOND SQ PROVIDENCE,AMERICAN EMERY WHEEL WORKS (grinding wheels) 9 Richmond sq tels PL 1-2260-1-2261See page 79 Buyers Guide
2,"105 Plainfield St, Providence, RI",Waldron Co Inc,2019-03-22,['cd1954/entry/1954_Page_1 (1)_11.png'],100.0,AbrasivesMirs,41.8156841927156,-71.44564220584347,100.0,105 PLAINFIELD ST PROVIDENCE,Waldron Co Inc 105 Plainfield
3,"85 Westminster St, Providence, RI",MORTGAGE GUARANTEE & TITLE CO,2019-03-22,"['cd1954/entry/1954_Page_1 (1)_13.png', 'cd1954/entry/1954_Page_1 (1)_14.png', 'cd1954/entry/1954_Page_1 (1)_15.png', 'cd1954/entry/1954_Page_1 (1)_16.png']",100.0,Abstracters,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,MORTGAGE GUARANTEE & TITLE CO 85 Westminster tel GAspee 1-3352 See page 101 Buyers Guide and bottom edge
4,"111 Westminster St, Providence, RI","Comery, Davison & Jacobso",2019-03-22,"['cd1954/entry/1954_Page_1 (1)_18.png', 'cd1954/entry/1954_Page_1 (1)_19.png', 'cd1954/entry/1954_Page_1 (1)_20.png']",100.0,*AccountantsCertified Public,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"Comery, Davison & Jacobson 1022 In- dustrial Bank Bldg 111 Westminster tel GAspee 1-3843"
5,"111 Westminster St, Providence, RI","Ward, Fisher & Co",2019-03-22,"['cd1954/entry/1954_Page_1 (1)_23.png', 'cd1954/entry/1954_Page_1 (1)_24.png', 'cd1954/entry/1954_Page_1 (1)_25.png']",100.0,*AccountantsCertified Public,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"Ward, Fisher & Co 2400 Industrial Bank bldg 111 Westminster tel GAs- pee 1-5768"
6,HARDCODE,Over Spencer H,2019-03-22,"['cd1954/entry/1954_Page_1 (1)_27.png', 'cd1954/entry/1954_Page_1 (1)_28.png', 'cd1954/entry/1954_Page_1 (1)_29.png']",100.0,*AccountantsChartered,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Over Spencer H 506 Hospital Trust bldg 15 Westminster tel GAspee 1-5232
7,"354 Broadway, Providence, RI",Accinno & Campanella,2019-03-22,['cd1954/entry/1954_Page_1 (1)_33.png'],100.0,AccountantsPublic,41.8197226252177,-71.42948556396226,100.0,354 BROADWAY PROVIDENCE,Accinno & Campanella 354 Bway
8,"240 Academy Ave, Providence, RI",Accountants Associated,2019-03-22,"['cd1954/entry/1954_Page_1 (1)_34.png', 'cd1954/entry/1954_Page_1 (1)_35.png']",100.0,AccountantsPublic,41.83143193142845,-71.44445275267432,100.0,240 ACADEMY AVE PROVIDENCE,Accountants Associated 240 Academy av
9,"17 Exchange St, Providence, RI",Adler Louis,2019-03-22,['cd1954/entry/1954_Page_1 (1)_38.png'],100.0,AccountantsPublic,41.82532999487296,-71.41059768489507,100.0,17 EXCHANGE ST PROVIDENCE,Adler Louis 17 Exchange rm 411
10,"170 Westminster St, Providence, RI",Allen David,2019-03-22,['cd1954/entry/1954_Page_1 (1)_39.png'],100.0,AccountantsPublic,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,Allen David 170 Westminster rm 712
11,"17 Exchange St, Providence, RI",Ambrifi M S and Associates,2019-03-22,"['cd1954/entry/1954_Page_1 (1)_40.png', 'cd1954/entry/1954_Page_1 (1)_41.png']",100.0,AccountantsPublic,41.82532999487296,-71.41059768489507,100.0,17 EXCHANGE ST PROVIDENCE,Ambrifi M S and Associates 17 Ex- change rm 319
12,"111 Westminster St, Providence, RI","Andelman, Andelman & Goluses",2019-03-22,"['cd1954/entry/1954_Page_1 (1)_42.png', 'cd1954/entry/1954_Page_1 (1)_43.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"Andelman, Andelman & Goluses 111 Westminster rm 528"
13,"111 Westminster St, Providence, RI",Andelman Leo,2019-03-22,"['cd1954/entry/1954_Page_1 (1)_44.png', 'cd1954/entry/1954_Page_1 (1)_45.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Andelman Leo 111 Westminster rm 528
14,"111 Westminster St, Providence, RI",Andelman Murray M,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_1.png', 'cd1954/entry/1954_Page_1 (2)_2.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Andelman Murray M 111 Westminster rm 528
15,"669 Charles St, Providence, RI",Andrew Prete,2019-03-22,['cd1954/entry/1954_Page_1 (2)_3.png'],100.0,AccountantsPublic,41.85497101337121,-71.42062079751554,100.0,669 CHARLES ST PROVIDENCE,Andrew Prete 669 Charles
16,HARDCODE,Armitage John C,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_4.png', 'cd1954/entry/1954_Page_1 (2)_5.png']",100.0,AccountantsPublic,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Armitage John C 15 Westminster rm 724
17,HARDCODE,Asmussen John E,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_6.png', 'cd1954/entry/1954_Page_1 (2)_7.png']",100.0,AccountantsPublic,41.824951,-71.40983100000001,100.0,49 WESTMINSTER ST PROVIDENCE,Asmussen John E 49 Westminster rm 136
18,"111 Westminster St, Providence, RI",*Baer Albert H,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_8.png', 'cd1954/entry/1954_Page_1 (2)_9.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,*Baer Albert H 111 Westminster rm 533
19,"86 Weybosset St, Providence, RI",Berkowitz Saml M & Co,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_10.png', 'cd1954/entry/1954_Page_1 (2)_11.png']",100.0,AccountantsPublic,41.82343603171933,-71.41033944573688,100.0,86 WEYBOSSET ST PROVIDENCE,Berkowitz Saml M & Co 86 Weybosset rm 21
20,HARDCODE,*Bernstein Perry,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_12.png', 'cd1954/entry/1954_Page_1 (2)_13.png']",100.0,AccountantsPublic,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,*Bernstein Perry 15 Westminster rm 627
21,HARDCODE,Bernstein-Pliner Co,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_14.png', 'cd1954/entry/1954_Page_1 (2)_15.png']",100.0,AccountantsPublic,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Bernstein-Pliner Co 15 Westminster rm 627
22,"111 Westminster St, Providence, RI",*Blackman & Blackma,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_16.png', 'cd1954/entry/1954_Page_1 (2)_17.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,*Blackman & Blackman 111 Westmins- ter rm 1209
23,"111 Westminster St, Providence, RI",*Blackman Edw,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_18.png', 'cd1954/entry/1954_Page_1 (2)_19.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,*Blackman Edw 111 Westminster rm 1209
24,"17 Exchange St, Providence, RI",Blake Harvey,2019-03-22,['cd1954/entry/1954_Page_1 (2)_20.png'],100.0,AccountantsPublic,41.82532999487296,-71.41059768489507,100.0,17 EXCHANGE ST PROVIDENCE,Blake Harvey 17 Exchange rm 501
25,"111 Westminster St, Providence, RI",Bogdan John P Co,2019-03-22,"['cd1954/entry/1954_Page_1 (2)_21.png', 'cd1954/entry/1954_Page_1 (2)_22.png']",100.0,AccountantsPublic,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Bogdan John P Co 111 Westminster rm 527
26,"51 Empire St, Providence, RI",Borod Audit Co,2019-03-22,['cd1954/entry/1954_Page_1 (2)_23.png'],100.0,AccountantsPublic,41.8211420993182,-71.41543234797402,100.0,51 EMPIRE ST PROVIDENCE,Borod Audit Co 51 Empire rm 605
