,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"1023 Broad St, Providence, RI",Bay State Abrasive Products,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_6.png'],100.0,ABRASIVESMANUFAC TURERS AMERICAN EMERY WHEEL WORKS,41.797004407183415,-71.4132412859307,100.0,1023 BROAD ST PROVIDENCE,Bay State Abrasive Products 1023 Broad
1,"1023 Broad St, Providence, RI",deVou Laird Inc,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_7.png'],100.0,ABRASIVESMANUFAC TURERS AMERICAN EMERY WHEEL WORKS,41.797004407183415,-71.4132412859307,100.0,1023 BROAD ST PROVIDENCE,deVou Laird Inc 1023 Broad
2,"1023 Broad St, Providence, RI",Exolon Abrasives,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_8.png'],100.0,ABRASIVESMANUFAC TURERS AMERICAN EMERY WHEEL WORKS,41.797004407183415,-71.4132412859307,100.0,1023 BROAD ST PROVIDENCE,Exolon Abrasives 1023 Broad
3,"85 Westminster St, Providence, RI","| MORTGAGE GUARANTEE & TITLE CO,",2019-03-22,"['cd1959/entry/1959_Page_93 (1).chop_10.png', 'cd1959/entry/1959_Page_93 (1).chop_11.png', 'cd1959/entry/1959_Page_93 (1).chop_12.png']",100.0,ABSTRACTERS,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,"|\nMORTGAGE GUARANTEE & TITLE CO, 85 | Westminster, Tel GAspee 1-3352 (See Yellow Page 81)"
4,"132 Pembroke Ave, Providence, RI",United Mercantile Co Inc,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_14.png'],100.0,ACCOUNT BUYING,41.83987329826505,-71.42998759436938,100.0,132 PEMBROKE AVE PROVIDENCE,United Mercantile Co Inc 132 Pembroke av
5,"111 Westminster St, Providence, RI","Ward, Fisher & Co,",2019-03-22,"['cd1959/entry/1959_Page_93 (1).chop_19.png', 'cd1959/entry/1959_Page_93 (1).chop_20.png', 'cd1959/entry/1959_Page_93 (1).chop_21.png']",100.0,* ACCOUNTANTS--CERTIFIED PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"Ward, Fisher & Co, 2400 Industrial Bank Bldg 111 Westminster, Tel GAspee 1-5768"
6,"87 Weybosset St, Providence, RI",Accounting Associates,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_26.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82345669921349,-71.41051758095863,89.0,87 WEYBOSSET ST PROVIDENCE,Accounting Associates 87 Weybosset R228
7,HARDCODE,Adler Benj E,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_27.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.825363,-71.40946,89.5,15 WESTMINSTER ST PROVIDENCE,Adler Benj E 15 Westminster R1004
8,HARDCODE,Adler Louis,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_28.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.825363,-71.40946,88.0,15 WESTMINSTER ST PROVIDENCE,Adler Louis 15 Westminster R1i004
9,"170 Westminster St, Providence, RI",Allen David,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_29.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.823683537755784,-71.41146197569445,90.5,170 WESTMINSTER ST PROVIDENCE,Allen David 170 Westminster R712
10,"573 Atwells Ave, Providence, RI",Ambrifi Mario & Associates,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_30.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.824573821371715,-71.4365374346377,100.0,573 ATWELLS AVE PROVIDENCE,Ambrifi Mario & Associates 573 Atwells av
11,"428 Smith St, Providence, RI",Andelman & Andelma,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_31.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.83511431783666,-71.42550636067058,88.5,428 SMITH ST PROVIDENCE,Andelman & Andelman 428 Smith R6
12,HARDCODE,Armitage John C,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_32.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.825363,-71.40946,90.5,15 WESTMINSTER ST PROVIDENCE,Armitage John C 15 Westminster R724
13,"111 Westminster St, Providence, RI",*Baer Albert H.,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_33.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82434144135414,-71.41073981740766,90.5,111 WESTMINSTER ST PROVIDENCE,*Baer Albert H.111 Westminster R533
14,"86 Weybosset St, Providence, RI",",M",2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_34.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82343603171933,-71.41033944573688,91.0,86 WEYBOSSET ST PROVIDENCE,"Berkowitz Saml1,M 86 Weybosset R20"
15,HARDCODE,*Bernstein Perry,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_35.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.825363,-71.40946,90.5,15 WESTMINSTER ST PROVIDENCE,*Bernstein Perry 15 Westminster R627
16,HARDCODE,Bernstein- Pliner Co,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_36.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.825363,-71.40946,90.5,15 WESTMINSTER ST PROVIDENCE,Bernstein- Pliner Co 15 Westminster R627
17,"304 Smith St, Providence, RI",Bilow Jack,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_37.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.83367330102835,-71.42189175197223,88.5,304 SMITH ST PROVIDENCE,Bilow Jack 304 Smith R3
18,"111 Westminster St, Providence, RI",*Blackman & Blackma,2019-03-22,"['cd1959/entry/1959_Page_93 (1).chop_38.png', 'cd1959/entry/1959_Page_93 (1).chop_39.png']",100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,*Blackman & Blackman 111 Westminster R1209
19,"111 Westminster St, Providence, RI",*Blackman Edw,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_40.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,*Blackman Edw 111 Westminster R1209
20,"1916 Westminster St, Providence, RI",*Blackway Howard C,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_41.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.816593646696646,-71.44195671255616,90.5,1916 WESTMINSTER ST PROVIDENCE,*Blackway Howard C 1916 Westminster R206
21,"17 Exchange Ter, Providence, RI",Blake Harvey,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_42.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.825349399083045,-71.41368216117942,90.0,17 EXCHANGE TER PROVIDENCE,Blake Harvey 17 Exchange R501
22,"111 Westminster St, Providence, RI",Bogdan John P Co,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_43.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82434144135414,-71.41073981740766,90.5,111 WESTMINSTER ST PROVIDENCE,Bogdan John P Co 111 Westminster R527
23,"51 Empire St, Providence, RI",Borod Audit Co,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_44.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.8211420993182,-71.41543234797402,85.5,51 EMPIRE ST PROVIDENCE,Borod Audit Co 51 Empire R605
24,"111 Westminster St, Providence, RI",Brayton Robt M,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_45.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82434144135414,-71.41073981740766,89.5,111 WESTMINSTER ST PROVIDENCE,Brayton Robt M 111 Westminster R1401
25,"87 Weybosset St, Providence, RI",*Brindamour Henri L,2019-03-22,['cd1959/entry/1959_Page_93 (1).chop_46.png'],100.0,ACCOUNTANTS PUBLIC *Denotes Certified Public Accoun-,41.82345669921349,-71.41051758095863,89.0,87 WEYBOSSET ST PROVIDENCE,*Brindamour Henri L 87 Weybosset R527
