,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"1411 Broad St, Providence, RI",LAIRD DE VOU INC,2019-03-22,"['cd1980/entry/1980_Page_74 (1)_4.png', 'cd1980/entry/1980_Page_74 (1)_5.png']",100.0,ABRASIVE MATERIALS,41.788443582056594,-71.40377991253074,100.0,1411 BROAD ST PROVIDENCE,LAIRD DE VOU INC 1411 Broad St (02905) Tel 761-6282
1,"16 E River St, Providence, RI",8 G L Abrasive Co,2019-03-22,['cd1980/entry/1980_Page_74 (1)_6.png'],100.0,ABRASIVE MATERIALS,41.827898185917206,-71.38141546547362,100.0,16 EAST RIVER ST PROVIDENCE,8 G L Abrasive Co 16 East River St
2,"325 Waterman St, Providence, RI",S G L Abrasive Inc (Grinding Wheel Div),2019-03-22,"['cd1980/entry/1980_Page_74 (1)_8.png', 'cd1980/entry/1980_Page_74 (1)_9.png']",100.0,ABRASIVESMFRS,41.82752719926306,-71.38287526279669,100.0,325 WATERMAN ST PROVIDENCE,S G L Abrasive Inc (Grinding Wheel Div) 325 Waterman St
3,"85 Westminster St, Providence, RI",Home Owners Title Guarantee Co,2019-03-22,"['cd1980/entry/1980_Page_74 (1)_11.png', 'cd1980/entry/1980_Page_74 (1)_12.png']",100.0,ABSTRACTS OF TITLE,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
4,HARDCODE,Allen David L,2019-03-22,['cd1980/entry/1980_Page_74 (1)_15.png'],100.0,ACCOUNTANTS,41.824645,-71.409938,98.0,1 TURKS HEAD PL PROVIDENCE,Allen David L 1 Turks Head P! Rm 1104
5,"34 Pontiac Ave, Providence, RI",Ambrifi & Assoc,2019-03-22,['cd1980/entry/1980_Page_74 (1)_16.png'],100.0,ACCOUNTANTS,41.78757198711035,-71.43142441242523,100.0,34 PONTIAC AVE PROVIDENCE,Ambrifi & Assoc 34 Pontiac Av Rm 1
6,"60 Touro St, Providence, RI",Antoni Henry G Jr,2019-03-22,['cd1980/entry/1980_Page_74 (1)_18.png'],100.0,ACCOUNTANTS,41.847881411119374,-71.41863584410424,100.0,60 TOURO ST PROVIDENCE,Antoni Henry G Jr 60 Touro St
7,"547 Mt Pleasant Ave, Providence, RI",Ayers Earl,2019-03-22,['cd1980/entry/1980_Page_74 (1)_19.png'],100.0,ACCOUNTANTS,41.84117719631069,-71.45241608704674,95.0,547 MOUNT PLEASANT AVE PROVIDENCE,Ayers Earl 547 Mt Pleasant Av
8,"179 Wayland Ave, Providence, RI",Bates Hichar & Co,2019-03-22,['cd1980/entry/1980_Page_74 (1)_23.png'],100.0,ACCOUNTANTS,41.82846166310375,-71.38835025708225,100.0,179 WAYLAND AVE PROVIDENCE,Bates Hichar & Co 179 Wayland Av
9,"1051 Broad St, Providence, RI",Blake Harvey Accounting,2019-03-22,['cd1980/entry/1980_Page_74 (1)_24.png'],100.0,ACCOUNTANTS,41.79622860326582,-71.41230395541548,100.0,1051 BROAD ST PROVIDENCE,Blake Harvey Accounting 1051 Broad St
